Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
Montreal,08/07/2017,Round of 128,Young D.,Paire B.,61.0,41.0,L,183.0,USA,29.6,R,196.0,FRA,29.6,0
Montreal,08/07/2017,Round of 128,Johnson S.,Monfils G.,35.0,22.0,R,188.0,USA,29.0,R,193.0,FRA,32.3,0
Montreal,08/07/2017,Round of 128,Edmund K.,Ferrer D.,43.0,33.0,R,188.0,GBR,23.9,R,175.0,ESP,36.7,0
Montreal,08/07/2017,Round of 128,Fabbiano T.,Harrison R.,91.0,44.0,R,173.0,ITA,29.6,R,183.0,USA,26.6,0
Montreal,08/07/2017,Round of 128,Opelka R.,Schwartzman D.,165.0,36.0,R,211.0,USA,21.3,R,170.0,ARG,26.3,0
Montreal,08/07/2017,Round of 128,Schnur B.,Gasquet R.,197.0,29.0,R,193.0,CAN,23.6,R,185.0,FRA,32.8,0
Montreal,08/08/2017,Round of 128,Medvedev D.,Mannarino A.,48.0,42.0,R,198.0,RUS,22.8,L,183.0,FRA,30.6,0
Montreal,08/08/2017,Round of 128,Pospisil V.,Polansky P.,75.0,116.0,R,193.0,CAN,29.0,R,183.0,CAN,36.0,0
Montreal,08/08/2017,Round of 128,Youzhny M.,Coric B.,98.0,55.0,R,183.0,RUS,42.0,R,188.0,CRO,22.1,0
Montreal,08/08/2017,Round of 128,Lopez F.,Chung H.,28.0,56.0,L,188.0,ESP,37.3,R,188.0,KOR,22.6,0
Montreal,08/08/2017,Round of 128,Tiafoe F.,Lorenzi P.,84.0,38.0,R,188.0,USA,20.9,R,183.0,ITA,37.1,0
Montreal,08/08/2017,Round of 128,Basilashvili N.,Escobedo E.,63.0,85.0,R,185.0,GEO,26.8,R,185.0,USA,24.1,0
Montreal,08/08/2017,Round of 128,Millot V.,Querrey S.,155.0,20.0,L,173.0,FRA,38.0,R,198.0,USA,31.2,0
Montreal,08/08/2017,Round of 128,Sugita Y.,Goffin D.,46.0,13.0,R,173.0,JPN,30.7,R,180.0,BEL,28.1,0
Montreal,08/08/2017,Round of 128,Sela D.,Anderson K.,77.0,32.0,R,175.0,ISR,34.4,R,203.0,RSA,32.6,0
Montreal,08/09/2017,Round of 64,Paire B.,Donaldson J.,41.0,66.0,R,196.0,FRA,29.6,R,188.0,USA,22.3,0
Montreal,08/09/2017,Round of 64,Thiem D.,Schwartzman D.,7.0,36.0,R,185.0,AUT,25.3,R,170.0,ARG,26.3,0
Montreal,08/09/2017,Round of 64,Escobedo E.,Haase R.,85.0,52.0,R,185.0,MEX,23.1,R,190.0,NED,31.7,0
Montreal,08/09/2017,Round of 64,Nishikori K.,Monfils G.,9.0,22.0,R,178.0,JPN,29.0,R,193.0,FRA,32.3,0
Montreal,08/09/2017,Round of 64,Polansky P.,Federer R.,116.0,3.0,R,180.0,CAN,30.6,R,185.0,SUI,37.4,0
